kuntanumero,kunta,maakuntanumero,maakunta
5,Alajärvi,14,Etelä-Pohjanmaa
9,Alavieska,17,Pohjois-Pohjanmaa
10,Alavus,14,Etelä-Pohjanmaa
16,Asikkala,7,Päijät-Häme
18,Askola,1,Uusimaa
19,Aura,2,Varsinais-Suomi
20,Akaa,6,Pirkanmaa
35,Brändö,21,Ahvenanmaa
43,Eckerö,21,Ahvenanmaa
46,Enonkoski,10,Etelä-Savo
47,Enontekiö,19,Lappi
49,Espoo,1,Uusimaa
50,Eura,4,Satakunta
51,Eurajoki,4,Satakunta
52,Evijärvi,14,Etelä-Pohjanmaa
60,Finström,21,Ahvenanmaa
61,Forssa,5,Kanta-Häme
62,Föglö,21,Ahvenanmaa
65,Geta,21,Ahvenanmaa
69,Haapajärvi,17,Pohjois-Pohjanmaa
71,Haapavesi,17,Pohjois-Pohjanmaa
72,Hailuoto,17,Pohjois-Pohjanmaa
74,Halsua,16,Keski-Pohjanmaa
75,Hamina,8,Kymenlaakso
76,Hammarland,21,Ahvenanmaa
77,Hankasalmi,13,Keski-Suomi
78,Hanko,1,Uusimaa
79,Harjavalta,4,Satakunta
81,Hartola,7,Päijät-Häme
82,Hattula,5,Kanta-Häme
86,Hausjärvi,5,Kanta-Häme
90,Heinävesi,10,Etelä-Savo
91,Helsinki,1,Uusimaa
92,Vantaa,1,Uusimaa
97,Hirvensalmi,10,Etelä-Savo
98,Hollola,7,Päijät-Häme
99,Honkajoki,4,Satakunta
102,Huittinen,4,Satakunta
103,Humppila,5,Kanta-Häme
105,Hyrynsalmi,18,Kainuu
106,Hyvinkää,1,Uusimaa
108,Hämeenkyrö,6,Pirkanmaa
109,Hämeenlinna,5,Kanta-Häme
111,Heinola,7,Päijät-Häme
139,Ii,17,Pohjois-Pohjanmaa
140,Iisalmi,11,Pohjois-Savo
142,Iitti,8,Kymenlaakso
143,Ikaalinen,6,Pirkanmaa
145,Ilmajoki,14,Etelä-Pohjanmaa
146,Ilomantsi,12,Pohjois-Karjala
148,Inari,19,Lappi
149,Inkoo,1,Uusimaa
151,Isojoki,14,Etelä-Pohjanmaa
152,Isokyrö,15,Pohjanmaa
153,Imatra,9,Etelä-Karjala
165,Janakkala,5,Kanta-Häme
167,Joensuu,12,Pohjois-Karjala
169,Jokioinen,5,Kanta-Häme
170,Jomala,21,Ahvenanmaa
171,Joroinen,10,Etelä-Savo
172,Joutsa,13,Keski-Suomi
174,Juankoski,11,Pohjois-Savo
176,Juuka,12,Pohjois-Karjala
177,Juupajoki,6,Pirkanmaa
178,Juva,10,Etelä-Savo
179,Jyväskylä,13,Keski-Suomi
181,Jämijärvi,4,Satakunta
182,Jämsä,13,Keski-Suomi
186,Järvenpää,1,Uusimaa
202,Kaarina,2,Varsinais-Suomi
204,Kaavi,11,Pohjois-Savo
205,Kajaani,18,Kainuu
208,Kalajoki,17,Pohjois-Pohjanmaa
211,Kangasala,6,Pirkanmaa
213,Kangasniemi,10,Etelä-Savo
214,Kankaanpää,4,Satakunta
216,Kannonkoski,13,Keski-Suomi
217,Kannus,16,Keski-Pohjanmaa
218,Karijoki,14,Etelä-Pohjanmaa
224,Karkkila,1,Uusimaa
226,Karstula,13,Keski-Suomi
230,Karvia,4,Satakunta
231,Kaskinen,15,Pohjanmaa
232,Kauhajoki,14,Etelä-Pohjanmaa
233,Kauhava,14,Etelä-Pohjanmaa
235,Kauniainen,1,Uusimaa
236,Kaustinen,16,Keski-Pohjanmaa
239,Keitele,11,Pohjois-Savo
240,Kemi,19,Lappi
241,Keminmaa,19,Lappi
244,Kempele,17,Pohjois-Pohjanmaa
245,Kerava,1,Uusimaa
249,Keuruu,13,Keski-Suomi
250,Kihniö,6,Pirkanmaa
256,Kinnula,13,Keski-Suomi
257,Kirkkonummi,1,Uusimaa
260,Kitee,12,Pohjois-Karjala
261,Kittilä,19,Lappi
263,Kiuruvesi,11,Pohjois-Savo
265,Kivijärvi,13,Keski-Suomi
271,Kokemäki,4,Satakunta
272,Kokkola,16,Keski-Pohjanmaa
273,Kolari,19,Lappi
275,Konnevesi,13,Keski-Suomi
276,Kontiolahti,12,Pohjois-Karjala
280,Korsnäs,15,Pohjanmaa
284,Koski Tl,2,Varsinais-Suomi
285,Kotka,8,Kymenlaakso
286,Kouvola,8,Kymenlaakso
287,Kristiinankaupunki,15,Pohjanmaa
288,Kruunupyy,15,Pohjanmaa
290,Kuhmo,18,Kainuu
291,Kuhmoinen,13,Keski-Suomi
295,Kumlinge,21,Ahvenanmaa
297,Kuopio,11,Pohjois-Savo
300,Kuortane,14,Etelä-Pohjanmaa
301,Kurikka,14,Etelä-Pohjanmaa
304,Kustavi,2,Varsinais-Suomi
305,Kuusamo,17,Pohjois-Pohjanmaa
309,Outokumpu,12,Pohjois-Karjala
312,Kyyjärvi,13,Keski-Suomi
316,Kärkölä,7,Päijät-Häme
317,Kärsämäki,17,Pohjois-Pohjanmaa
318,Kökar,21,Ahvenanmaa
320,Kemijärvi,19,Lappi
322,Kemiönsaari,2,Varsinais-Suomi
398,Lahti,7,Päijät-Häme
399,Laihia,15,Pohjanmaa
400,Laitila,2,Varsinais-Suomi
402,Lapinlahti,11,Pohjois-Savo
403,Lappajärvi,14,Etelä-Pohjanmaa
405,Lappeenranta,9,Etelä-Karjala
407,Lapinjärvi,1,Uusimaa
408,Lapua,14,Etelä-Pohjanmaa
410,Laukaa,13,Keski-Suomi
416,Lemi,9,Etelä-Karjala
417,Lemland,21,Ahvenanmaa
418,Lempäälä,6,Pirkanmaa
420,Leppävirta,11,Pohjois-Savo
421,Lestijärvi,16,Keski-Pohjanmaa
422,Lieksa,12,Pohjois-Karjala
423,Lieto,2,Varsinais-Suomi
425,Liminka,17,Pohjois-Pohjanmaa
426,Liperi,12,Pohjois-Karjala
430,Loimaa,2,Varsinais-Suomi
433,Loppi,5,Kanta-Häme
434,Loviisa,1,Uusimaa
435,Luhanka,13,Keski-Suomi
436,Lumijoki,17,Pohjois-Pohjanmaa
438,Lumparland,21,Ahvenanmaa
440,Luoto,15,Pohjanmaa
441,Luumäki,9,Etelä-Karjala
442,Luvia,4,Satakunta
444,Lohja,1,Uusimaa
445,Parainen,2,Varsinais-Suomi
475,Maalahti,15,Pohjanmaa
478,Maarianhamina - Mariehamn,21,Ahvenanmaa
480,Marttila,2,Varsinais-Suomi
481,Masku,2,Varsinais-Suomi
483,Merijärvi,17,Pohjois-Pohjanmaa
484,Merikarvia,4,Satakunta
489,Miehikkälä,8,Kymenlaakso
491,Mikkeli,10,Etelä-Savo
494,Muhos,17,Pohjois-Pohjanmaa
495,Multia,13,Keski-Suomi
498,Muonio,19,Lappi
499,Mustasaari,15,Pohjanmaa
500,Muurame,13,Keski-Suomi
503,Mynämäki,2,Varsinais-Suomi
504,Myrskylä,1,Uusimaa
505,Mäntsälä,1,Uusimaa
507,Mäntyharju,10,Etelä-Savo
508,Mänttä-Vilppula,6,Pirkanmaa
529,Naantali,2,Varsinais-Suomi
531,Nakkila,4,Satakunta
535,Nivala,17,Pohjois-Pohjanmaa
536,Nokia,6,Pirkanmaa
538,Nousiainen,2,Varsinais-Suomi
541,Nurmes,12,Pohjois-Karjala
543,Nurmijärvi,1,Uusimaa
545,Närpiö,15,Pohjanmaa
560,Orimattila,7,Päijät-Häme
561,Oripää,2,Varsinais-Suomi
562,Orivesi,6,Pirkanmaa
563,Oulainen,17,Pohjois-Pohjanmaa
564,Oulu,17,Pohjois-Pohjanmaa
576,Padasjoki,7,Päijät-Häme
577,Paimio,2,Varsinais-Suomi
578,Paltamo,18,Kainuu
580,Parikkala,9,Etelä-Karjala
581,Parkano,6,Pirkanmaa
583,Pelkosenniemi,19,Lappi
584,Perho,16,Keski-Pohjanmaa
588,Pertunmaa,10,Etelä-Savo
592,Petäjävesi,13,Keski-Suomi
593,Pieksämäki,10,Etelä-Savo
595,Pielavesi,11,Pohjois-Savo
598,Pietarsaari,15,Pohjanmaa
599,Pedersören kunta,15,Pohjanmaa
601,Pihtipudas,13,Keski-Suomi
604,Pirkkala,6,Pirkanmaa
607,Polvijärvi,12,Pohjois-Karjala
608,Pomarkku,4,Satakunta
609,Pori,4,Satakunta
611,Pornainen,1,Uusimaa
614,Posio,19,Lappi
615,Pudasjärvi,17,Pohjois-Pohjanmaa
616,Pukkila,1,Uusimaa
619,Punkalaidun,6,Pirkanmaa
620,Puolanka,18,Kainuu
623,Puumala,10,Etelä-Savo
624,Pyhtää,8,Kymenlaakso
625,Pyhäjoki,17,Pohjois-Pohjanmaa
626,Pyhäjärvi,17,Pohjois-Pohjanmaa
630,Pyhäntä,17,Pohjois-Pohjanmaa
631,Pyhäranta,2,Varsinais-Suomi
635,Pälkäne,6,Pirkanmaa
636,Pöytyä,2,Varsinais-Suomi
638,Porvoo,1,Uusimaa
678,Raahe,17,Pohjois-Pohjanmaa
680,Raisio,2,Varsinais-Suomi
681,Rantasalmi,10,Etelä-Savo
683,Ranua,19,Lappi
684,Rauma,4,Satakunta
686,Rautalampi,11,Pohjois-Savo
687,Rautavaara,11,Pohjois-Savo
689,Rautjärvi,9,Etelä-Karjala
691,Reisjärvi,17,Pohjois-Pohjanmaa
694,Riihimäki,5,Kanta-Häme
697,Ristijärvi,18,Kainuu
698,Rovaniemi,19,Lappi
700,Ruokolahti,9,Etelä-Karjala
702,Ruovesi,6,Pirkanmaa
704,Rusko,2,Varsinais-Suomi
707,Rääkkylä,12,Pohjois-Karjala
710,Raasepori,1,Uusimaa
729,Saarijärvi,13,Keski-Suomi
732,Salla,19,Lappi
734,Salo,2,Varsinais-Suomi
736,Saltvik,21,Ahvenanmaa
738,Sauvo,2,Varsinais-Suomi
739,Savitaipale,9,Etelä-Karjala
740,Savonlinna,10,Etelä-Savo
742,Savukoski,19,Lappi
743,Seinäjoki,14,Etelä-Pohjanmaa
746,Sievi,17,Pohjois-Pohjanmaa
747,Siikainen,4,Satakunta
748,Siikajoki,17,Pohjois-Pohjanmaa
749,Siilinjärvi,11,Pohjois-Savo
751,Simo,19,Lappi
753,Sipoo,1,Uusimaa
755,Siuntio,1,Uusimaa
758,Sodankylä,19,Lappi
759,Soini,14,Etelä-Pohjanmaa
761,Somero,2,Varsinais-Suomi
762,Sonkajärvi,11,Pohjois-Savo
765,Sotkamo,18,Kainuu
766,Sottunga,21,Ahvenanmaa
768,Sulkava,10,Etelä-Savo
771,Sund,21,Ahvenanmaa
777,Suomussalmi,18,Kainuu
778,Suonenjoki,11,Pohjois-Savo
781,Sysmä,7,Päijät-Häme
783,Säkylä,4,Satakunta
785,Vaala,17,Pohjois-Pohjanmaa
790,Sastamala,6,Pirkanmaa
791,Siikalatva,17,Pohjois-Pohjanmaa
831,Taipalsaari,9,Etelä-Karjala
832,Taivalkoski,17,Pohjois-Pohjanmaa
833,Taivassalo,2,Varsinais-Suomi
834,Tammela,5,Kanta-Häme
837,Tampere,6,Pirkanmaa
844,Tervo,11,Pohjois-Savo
845,Tervola,19,Lappi
846,Teuva,14,Etelä-Pohjanmaa
848,Tohmajärvi,12,Pohjois-Karjala
849,Toholampi,16,Keski-Pohjanmaa
850,Toivakka,13,Keski-Suomi
851,Tornio,19,Lappi
853,Turku,2,Varsinais-Suomi
854,Pello,19,Lappi
857,Tuusniemi,11,Pohjois-Savo
858,Tuusula,1,Uusimaa
859,Tyrnävä,17,Pohjois-Pohjanmaa
886,Ulvila,4,Satakunta
887,Urjala,6,Pirkanmaa
889,Utajärvi,17,Pohjois-Pohjanmaa
890,Utsjoki,19,Lappi
892,Uurainen,13,Keski-Suomi
893,Uusikaarlepyy,15,Pohjanmaa
895,Uusikaupunki,2,Varsinais-Suomi
905,Vaasa,15,Pohjanmaa
908,Valkeakoski,6,Pirkanmaa
911,Valtimo,12,Pohjois-Karjala
915,Varkaus,11,Pohjois-Savo
918,Vehmaa,2,Varsinais-Suomi
921,Vesanto,11,Pohjois-Savo
922,Vesilahti,6,Pirkanmaa
924,Veteli,16,Keski-Pohjanmaa
925,Vieremä,11,Pohjois-Savo
927,Vihti,1,Uusimaa
931,Viitasaari,13,Keski-Suomi
934,Vimpeli,14,Etelä-Pohjanmaa
935,Virolahti,8,Kymenlaakso
936,Virrat,6,Pirkanmaa
941,Vårdö,21,Ahvenanmaa
946,Vöyri,15,Pohjanmaa
976,Ylitornio,19,Lappi
977,Ylivieska,17,Pohjois-Pohjanmaa
980,Ylöjärvi,6,Pirkanmaa
981,Ypäjä,5,Kanta-Häme
989,Ähtäri,14,Etelä-Pohjanmaa
992,Äänekoski,13,Keski-Suomi
